lon,lat,CLASS,geometry,index_right,pop_est,continent,name,iso_a3,gdp_md_est
-14.875,15.125,Des_Line,POINT (-14.875 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-14.625,15.125,Des_Line,POINT (-14.625 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-14.375,15.125,Des_Line,POINT (-14.375 15.125),51,16296364.0,Africa,Senegal,SEN,23578
-15.875,14.875,Des_Line,POINT (-15.875 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-15.625,14.875,Des_Line,POINT (-15.625 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-15.375,14.875,Des_Line,POINT (-15.375 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-15.125,14.875,Des_Line,POINT (-15.125 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-14.125,14.875,Des_Line,POINT (-14.125 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-13.875,14.875,Des_Line,POINT (-13.875 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-13.625,14.875,Des_Line,POINT (-13.625 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-13.375,14.875,Des_Line,POINT (-13.375 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-13.125,14.875,Des_Line,POINT (-13.125 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-12.875,14.875,Des_Line,POINT (-12.875 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-12.625,14.875,Des_Line,POINT (-12.625 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-10.875,14.875,Des_Line,POINT (-10.875 14.875),52,19658031.0,Africa,Mali,MLI,17279
-10.625,14.875,Des_Line,POINT (-10.625 14.875),52,19658031.0,Africa,Mali,MLI,17279
-10.375,14.875,Des_Line,POINT (-10.375 14.875),52,19658031.0,Africa,Mali,MLI,17279
-10.125,14.875,Des_Line,POINT (-10.125 14.875),52,19658031.0,Africa,Mali,MLI,17279
-9.875,14.875,Des_Line,POINT (-9.875 14.875),52,19658031.0,Africa,Mali,MLI,17279
-12.375,14.625,Des_Line,POINT (-12.375 14.625),51,16296364.0,Africa,Senegal,SEN,23578
-12.125,14.625,Des_Line,POINT (-12.125 14.625),52,19658031.0,Africa,Mali,MLI,17279
-11.875,14.625,Des_Line,POINT (-11.875 14.625),52,19658031.0,Africa,Mali,MLI,17279
-11.625,14.625,Des_Line,POINT (-11.625 14.625),52,19658031.0,Africa,Mali,MLI,17279
-11.375,14.625,Des_Line,POINT (-11.375 14.625),52,19658031.0,Africa,Mali,MLI,17279
-11.125,14.625,Des_Line,POINT (-11.125 14.625),52,19658031.0,Africa,Mali,MLI,17279
-9.625,14.625,Des_Line,POINT (-9.625 14.625),52,19658031.0,Africa,Mali,MLI,17279
-9.375,14.625,Des_Line,POINT (-9.375 14.625),52,19658031.0,Africa,Mali,MLI,17279
-9.125,14.625,Des_Line,POINT (-9.125 14.625),52,19658031.0,Africa,Mali,MLI,17279
-8.875,14.625,Des_Line,POINT (-8.875 14.625),52,19658031.0,Africa,Mali,MLI,17279
38.125,14.625,Des_Line,POINT (38.125 14.625),165,112078730.0,Africa,Ethiopia,ETH,95912
39.125,14.625,Des_Line,POINT (39.125 14.625),165,112078730.0,Africa,Ethiopia,ETH,95912
-8.625,14.375,Des_Line,POINT (-8.625 14.375),52,19658031.0,Africa,Mali,MLI,17279
-8.375,14.375,Des_Line,POINT (-8.375 14.375),52,19658031.0,Africa,Mali,MLI,17279
-8.125,14.375,Des_Line,POINT (-8.125 14.375),52,19658031.0,Africa,Mali,MLI,17279
-7.875,14.375,Des_Line,POINT (-7.875 14.375),52,19658031.0,Africa,Mali,MLI,17279
37.875,14.375,Des_Line,POINT (37.875 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
39.375,14.375,Des_Line,POINT (39.375 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
39.625,14.375,Des_Line,POINT (39.625 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
-7.625,14.125,Des_Line,POINT (-7.625 14.125),52,19658031.0,Africa,Mali,MLI,17279
-7.375,14.125,Des_Line,POINT (-7.375 14.125),52,19658031.0,Africa,Mali,MLI,17279
37.625,14.125,Des_Line,POINT (37.625 14.125),165,112078730.0,Africa,Ethiopia,ETH,95912
37.875,14.125,Des_Line,POINT (37.875 14.125),165,112078730.0,Africa,Ethiopia,ETH,95912
39.625,14.125,Des_Line,POINT (39.625 14.125),165,112078730.0,Africa,Ethiopia,ETH,95912
-7.125,13.875,Des_Line,POINT (-7.125 13.875),52,19658031.0,Africa,Mali,MLI,17279
-6.875,13.875,Des_Line,POINT (-6.875 13.875),52,19658031.0,Africa,Mali,MLI,17279
-5.875,13.875,Des_Line,POINT (-5.875 13.875),52,19658031.0,Africa,Mali,MLI,17279
-5.625,13.875,Des_Line,POINT (-5.625 13.875),52,19658031.0,Africa,Mali,MLI,17279
-5.375,13.875,Des_Line,POINT (-5.375 13.875),52,19658031.0,Africa,Mali,MLI,17279
-5.125,13.875,Des_Line,POINT (-5.125 13.875),52,19658031.0,Africa,Mali,MLI,17279
-4.875,13.875,Des_Line,POINT (-4.875 13.875),52,19658031.0,Africa,Mali,MLI,17279
-4.625,13.875,Des_Line,POINT (-4.625 13.875),52,19658031.0,Africa,Mali,MLI,17279
-4.375,13.875,Des_Line,POINT (-4.375 13.875),52,19658031.0,Africa,Mali,MLI,17279
-4.125,13.875,Des_Line,POINT (-4.125 13.875),52,19658031.0,Africa,Mali,MLI,17279
-3.875,13.875,Des_Line,POINT (-3.875 13.875),52,19658031.0,Africa,Mali,MLI,17279
-3.625,13.875,Des_Line,POINT (-3.625 13.875),52,19658031.0,Africa,Mali,MLI,17279
-0.375,13.875,Des_Line,POINT (-0.375 13.875),65,20321378.0,Africa,Burkina Faso,BFA,15990
-0.125,13.875,Des_Line,POINT (-0.125 13.875),65,20321378.0,Africa,Burkina Faso,BFA,15990
37.125,13.875,Des_Line,POINT (37.125 13.875),165,112078730.0,Africa,Ethiopia,ETH,95912
37.375,13.875,Des_Line,POINT (37.375 13.875),165,112078730.0,Africa,Ethiopia,ETH,95912
39.625,13.875,Des_Line,POINT (39.625 13.875),165,112078730.0,Africa,Ethiopia,ETH,95912
-6.875,13.625,Des_Line,POINT (-6.875 13.625),52,19658031.0,Africa,Mali,MLI,17279
-6.625,13.625,Des_Line,POINT (-6.625 13.625),52,19658031.0,Africa,Mali,MLI,17279
-6.375,13.625,Des_Line,POINT (-6.375 13.625),52,19658031.0,Africa,Mali,MLI,17279
-6.125,13.625,Des_Line,POINT (-6.125 13.625),52,19658031.0,Africa,Mali,MLI,17279
-5.875,13.625,Des_Line,POINT (-5.875 13.625),52,19658031.0,Africa,Mali,MLI,17279
-3.375,13.625,Des_Line,POINT (-3.375 13.625),52,19658031.0,Africa,Mali,MLI,17279
-3.125,13.625,Des_Line,POINT (-3.125 13.625),52,19658031.0,Africa,Mali,MLI,17279
-2.875,13.625,Des_Line,POINT (-2.875 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-2.625,13.625,Des_Line,POINT (-2.625 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-2.375,13.625,Des_Line,POINT (-2.375 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-2.125,13.625,Des_Line,POINT (-2.125 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-1.875,13.625,Des_Line,POINT (-1.875 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-1.625,13.625,Des_Line,POINT (-1.625 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-1.375,13.625,Des_Line,POINT (-1.375 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-1.125,13.625,Des_Line,POINT (-1.125 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-0.875,13.625,Des_Line,POINT (-0.875 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
-0.625,13.625,Des_Line,POINT (-0.625 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
0.125,13.625,Des_Line,POINT (0.125 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
0.375,13.625,Des_Line,POINT (0.375 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
0.625,13.625,Des_Line,POINT (0.625 13.625),65,20321378.0,Africa,Burkina Faso,BFA,15990
35.375,13.625,Des_Line,POINT (35.375 13.625),14,42813238.0,Africa,Sudan,SDN,30513
35.625,13.625,Des_Line,POINT (35.625 13.625),14,42813238.0,Africa,Sudan,SDN,30513
35.875,13.625,Des_Line,POINT (35.875 13.625),14,42813238.0,Africa,Sudan,SDN,30513
36.125,13.625,Des_Line,POINT (36.125 13.625),14,42813238.0,Africa,Sudan,SDN,30513
36.375,13.625,Des_Line,POINT (36.375 13.625),165,112078730.0,Africa,Ethiopia,ETH,95912
36.625,13.625,Des_Line,POINT (36.625 13.625),165,112078730.0,Africa,Ethiopia,ETH,95912
36.875,13.625,Des_Line,POINT (36.875 13.625),165,112078730.0,Africa,Ethiopia,ETH,95912
39.625,13.625,Des_Line,POINT (39.625 13.625),165,112078730.0,Africa,Ethiopia,ETH,95912
0.875,13.375,Des_Line,POINT (0.875 13.375),65,20321378.0,Africa,Burkina Faso,BFA,15990
1.125,13.375,Des_Line,POINT (1.125 13.375),55,23310715.0,Africa,Niger,NER,12911
4.375,13.375,Des_Line,POINT (4.375 13.375),56,200963599.0,Africa,Nigeria,NGA,448120
4.625,13.375,Des_Line,POINT (4.625 13.375),56,200963599.0,Africa,Nigeria,NGA,448120
4.875,13.375,Des_Line,POINT (4.875 13.375),56,200963599.0,Africa,Nigeria,NGA,448120
5.125,13.375,Des_Line,POINT (5.125 13.375),56,200963599.0,Africa,Nigeria,NGA,448120
35.125,13.375,Des_Line,POINT (35.125 13.375),14,42813238.0,Africa,Sudan,SDN,30513
35.375,13.375,Des_Line,POINT (35.375 13.375),14,42813238.0,Africa,Sudan,SDN,30513
39.875,13.375,Des_Line,POINT (39.875 13.375),165,112078730.0,Africa,Ethiopia,ETH,95912
1.375,13.125,Des_Line,POINT (1.375 13.125),55,23310715.0,Africa,Niger,NER,12911
1.625,13.125,Des_Line,POINT (1.625 13.125),55,23310715.0,Africa,Niger,NER,12911
1.875,13.125,Des_Line,POINT (1.875 13.125),55,23310715.0,Africa,Niger,NER,12911
2.125,13.125,Des_Line,POINT (2.125 13.125),55,23310715.0,Africa,Niger,NER,12911
2.375,13.125,Des_Line,POINT (2.375 13.125),55,23310715.0,Africa,Niger,NER,12911
2.625,13.125,Des_Line,POINT (2.625 13.125),55,23310715.0,Africa,Niger,NER,12911
2.875,13.125,Des_Line,POINT (2.875 13.125),55,23310715.0,Africa,Niger,NER,12911
3.125,13.125,Des_Line,POINT (3.125 13.125),55,23310715.0,Africa,Niger,NER,12911
3.375,13.125,Des_Line,POINT (3.375 13.125),55,23310715.0,Africa,Niger,NER,12911
3.625,13.125,Des_Line,POINT (3.625 13.125),55,23310715.0,Africa,Niger,NER,12911
3.875,13.125,Des_Line,POINT (3.875 13.125),55,23310715.0,Africa,Niger,NER,12911
4.125,13.125,Des_Line,POINT (4.125 13.125),56,200963599.0,Africa,Nigeria,NGA,448120
5.375,13.125,Des_Line,POINT (5.375 13.125),56,200963599.0,Africa,Nigeria,NGA,448120
5.625,13.125,Des_Line,POINT (5.625 13.125),56,200963599.0,Africa,Nigeria,NGA,448120
5.875,13.125,Des_Line,POINT (5.875 13.125),56,200963599.0,Africa,Nigeria,NGA,448120
6.125,13.125,Des_Line,POINT (6.125 13.125),56,200963599.0,Africa,Nigeria,NGA,448120
6.375,13.125,Des_Line,POINT (6.375 13.125),56,200963599.0,Africa,Nigeria,NGA,448120
6.625,13.125,Des_Line,POINT (6.625 13.125),56,200963599.0,Africa,Nigeria,NGA,448120
6.875,13.125,Des_Line,POINT (6.875 13.125),55,23310715.0,Africa,Niger,NER,12911
7.125,13.125,Des_Line,POINT (7.125 13.125),55,23310715.0,Africa,Niger,NER,12911
7.375,13.125,Des_Line,POINT (7.375 13.125),55,23310715.0,Africa,Niger,NER,12911
34.875,13.125,Des_Line,POINT (34.875 13.125),14,42813238.0,Africa,Sudan,SDN,30513
35.125,13.125,Des_Line,POINT (35.125 13.125),14,42813238.0,Africa,Sudan,SDN,30513
39.875,13.125,Des_Line,POINT (39.875 13.125),165,112078730.0,Africa,Ethiopia,ETH,95912
7.625,12.875,Des_Line,POINT (7.625 12.875),56,200963599.0,Africa,Nigeria,NGA,448120
7.875,12.875,Des_Line,POINT (7.875 12.875),56,200963599.0,Africa,Nigeria,NGA,448120
8.125,12.875,Des_Line,POINT (8.125 12.875),56,200963599.0,Africa,Nigeria,NGA,448120
34.625,12.875,Des_Line,POINT (34.625 12.875),14,42813238.0,Africa,Sudan,SDN,30513
34.875,12.875,Des_Line,POINT (34.875 12.875),14,42813238.0,Africa,Sudan,SDN,30513
39.875,12.875,Des_Line,POINT (39.875 12.875),165,112078730.0,Africa,Ethiopia,ETH,95912
8.375,12.625,Des_Line,POINT (8.375 12.625),56,200963599.0,Africa,Nigeria,NGA,448120
8.625,12.625,Des_Line,POINT (8.625 12.625),56,200963599.0,Africa,Nigeria,NGA,448120
8.875,12.625,Des_Line,POINT (8.875 12.625),56,200963599.0,Africa,Nigeria,NGA,448120
19.125,12.625,Des_Line,POINT (19.125 12.625),15,15946876.0,Africa,Chad,TCD,11314
34.375,12.625,Des_Line,POINT (34.375 12.625),14,42813238.0,Africa,Sudan,SDN,30513
